Name,Gender,Date_of_Birth,Domicile_State,Reservation_Category,10th_Marks,12th_Marks,Exam_Marks,Home_Guard_Status,Marital_Status,FIR_Registered
Student_62,Male,1995-01-10,State_B,General,9.47,8.25,8.85,No,Single,No
Student_63,Male,1995-01-10,State_A,ST,9.03,9.79,7.98,No,Single,No
Student_64,Male,1995-01-11,State_C,OBC,15.22,15.36,18.01,No,Single,No
Student_65,Female,1995-01-11,State_D,General,8.65,9.64,10.8,No,Single,No
Student_66,Female,1995-01-11,State_B,General,8.62,9.07,9.67,No,Single,No
Student_67,Female,1995-01-11,State_B,OBC,9.34,10.04,11.48,No,Single,No
Student_68,Other,1995-01-11,State_C,OBC,11.15,7.78,7.36,No,Single,No
Student_69,Female,1995-01-11,State_B,OBC,13.99,15.13,17.73,Yes,Single,Yes
Student_70,Male,1995-01-12,State_D,General,11.74,5.23,9.5,No,Single,No
Student_71,Female,1995-01-12,State_D,General,11.15,7.84,7.21,No,Married,No
Student_72,Female,1995-01-12,State_C,General,8.86,7.59,8.21,No,Divorced,No
Student_73,Female,1995-01-12,State_C,ST,12.7,13.96,13.85,No,Single,No
Student_74,Female,1995-01-12,State_D,OBC,12.99,12.43,6.83,Yes,Married,Yes
Student_75,Female,1995-01-12,State_A,General,6.46,8.5,8.76,No,Single,No
Student_76,Male,1995-01-13,State_B,General,7.26,7.78,4.99,Yes,Single,No
Student_77,Female,1995-01-13,State_B,ST,13.66,14.08,12.56,No,Single,Yes
Student_78,Male,1995-01-13,State_B,General,10.04,10.55,9.1,No,Divorced,No
Student_79,Female,1995-01-13,State_D,General,4.46,4.91,0.0,No,Single,No
Student_80,Female,1995-01-13,State_D,ST,9.82,9.15,10.67,Yes,Married,Yes
Student_81,Male,1995-01-13,State_A,General,13.35,13.1,14.3,No,Married,No
Student_82,Male,1995-01-14,State_B,SC,6.54,7.75,7.61,Yes,Single,No
Student_83,Male,1995-01-14,State_B,SC,12.21,10.69,14.04,No,Single,Yes
Student_84,Female,1995-01-14,State_C,General,8.38,8.23,10.33,No,Single,No
Student_85,Female,1995-01-14,State_C,ST,5.29,4.55,0.0,No,Married,No
Student_86,Male,1995-01-14,State_C,ST,13.77,13.28,10.96,No,Married,No
Student_87,Female,1995-01-14,State_D,General,10.23,10.06,7.22,No,Married,No
Student_88,Male,1995-01-14,State_A,General,6.25,11.56,13.43,No,Married,No
Student_89,Female,1995-01-15,State_D,General,10.68,9.94,13.59,No,Single,No
Student_90,Male,1995-01-15,State_C,ST,14.66,15.74,17.28,No,Married,No
Student_91,Male,1995-01-15,State_A,SC,5.14,4.21,6.02,No,Married,Yes
Student_92,Female,1995-01-15,State_C,OBC,9.75,10.13,11.58,No,Married,No
Student_93,Male,1995-01-15,State_D,ST,9.53,9.86,10.17,Yes,Single,No
Student_94,Male,1995-01-15,State_C,General,12.51,11.49,12.34,Yes,Single,No
Student_95,Male,1995-01-16,State_D,General,5.4,2.78,5.65,No,Single,No
Student_96,Female,1995-01-16,State_A,SC,16.81,17.23,19.53,No,Divorced,Yes
Student_97,Male,1995-01-16,State_D,ST,9.13,9.82,9.69,No,Married,No
Student_98,Male,1995-01-16,State_C,General,11.96,11.63,13.61,Yes,Single,No
Student_99,Male,1995-01-16,State_A,General,9.29,8.48,9.97,No,Single,Yes
Student_100,Male,1995-01-16,State_A,ST,11.36,9.08,8.55,No,Single,No
Student_101,Male,1995-01-17,State_B,SC,12.96,12.95,15.03,Yes,Married,No
Student_102,Female,1995-01-17,State_A,General,9.1,8.38,7.79,No,Married,No
Student_103,Female,1995-01-17,State_D,OBC,6.51,5.48,5.6,No,Single,No
Student_104,Female,1995-01-17,State_C,OBC,11.7,10.38,12.07,No,Single,No
Student_105,Male,1995-01-17,State_A,SC,10.1,6.55,6.57,No,Married,No
Student_106,Female,1995-01-17,State_A,OBC,11.64,11.0,9.49,No,Single,No
Student_107,Female,1995-01-18,State_A,OBC,9.8,9.43,9.16,Yes,Single,No
Student_108,Male,1995-01-18,State_A,SC,8.92,6.47,9.61,Yes,Single,Yes
Student_109,Male,1995-01-18,State_B,SC,12.78,13.14,16.67,No,Single,No
Student_110,Female,1995-01-18,State_C,SC,9.65,7.3,6.58,No,Single,No
Student_111,Male,1995-01-18,State_A,General,9.76,10.59,11.41,No,Single,No
Student_112,Male,1995-01-18,State_A,OBC,14.2,13.41,12.38,No,Single,No
Student_113,Male,1995-01-18,State_D,OBC,13.13,13.28,14.61,No,Married,Yes
Student_114,Male,1995-01-19,State_B,General,11.59,12.44,13.87,Yes,Single,No
Student_115,Female,1995-01-19,State_D,ST,9.28,10.21,9.61,No,Divorced,No
Student_116,Male,1995-01-19,State_D,OBC,7.64,11.05,10.15,No,Married,No
Student_117,Female,1995-01-19,State_D,General,12.91,13.0,13.98,Yes,Single,No
Student_118,Female,1995-01-19,State_B,SC,7.58,5.59,2.93,No,Single,No
Student_119,Male,1995-01-19,State_A,General,9.6,10.69,11.5,Yes,Single,No
Student_120,Male,1995-01-20,State_C,SC,11.86,12.58,10.98,Yes,Single,No
Student_121,Female,1995-01-20,State_D,ST,11.38,9.09,6.53,No,Single,Yes
Student_122,Male,1995-01-20,State_B,SC,10.47,9.7,7.75,Yes,Single,No
Student_123,Female,1995-01-20,State_A,OBC,10.3,9.8,9.46,Yes,Single,No
Student_124,Male,1995-01-20,State_B,General,13.48,13.05,14.07,No,Married,No
Student_125,Male,1995-01-20,State_A,SC,8.79,3.48,4.06,No,Married,No
Student_126,Female,1995-01-21,State_A,SC,14.47,13.42,13.05,No,Single,Yes
Student_127,Male,1995-01-21,State_A,OBC,2.88,3.46,1.09,No,Single,Yes
Student_128,Male,1995-01-21,State_A,SC,9.6,13.17,14.95,Yes,Single,No
Student_129,Male,1995-01-21,State_C,OBC,13.54,13.16,13.81,No,Married,No
Student_130,Male,1995-01-21,State_C,SC,6.32,4.54,0.85,No,Single,No
Student_131,Male,1995-01-21,State_A,General,13.7,15.29,13.28,No,Divorced,Yes
Student_132,Male,1995-01-22,State_A,General,6.81,4.62,0.87,No,Married,No
Student_133,Male,1995-01-22,State_A,ST,17.83,17.19,16.62,Yes,Married,No
Student_134,Male,1995-01-22,State_A,General,4.78,6.61,6.23,No,Single,Yes
Student_135,Female,1995-01-22,State_D,SC,10.76,11.12,10.13,No,Single,No
Student_136,Male,1995-01-22,State_B,General,7.53,8.47,8.65,No,Married,No
Student_137,Male,1995-01-22,State_A,OBC,11.55,9.65,9.72,No,Single,No
Student_138,Male,1995-01-23,State_A,General,12.76,13.42,17.57,No,Married,No
Student_139,Male,1995-01-23,State_C,OBC,9.57,7.95,10.45,No,Married,No
Student_140,Male,1995-01-23,State_A,General,12.19,10.35,8.76,No,Single,No
Student_141,Male,1995-01-23,State_A,OBC,7.0,3.64,0.0,No,Single,No
Student_142,Female,1995-01-23,State_B,General,9.46,5.94,6.12,No,Married,No
Student_143,Female,1995-01-23,State_B,OBC,15.19,13.28,14.54,Yes,Single,No
Student_144,Female,1995-01-23,State_B,General,13.7,18.92,18.43,No,Married,No
Student_145,Female,1995-01-24,State_D,General,13.34,10.33,11.63,No,Single,No
Student_146,Male,1995-01-24,State_B,SC,12.3,11.93,7.79,No,Single,No
Student_147,Male,1995-01-24,State_D,SC,16.11,16.53,18.23,Yes,Married,No
Student_148,Male,1995-01-24,State_C,OBC,8.17,10.7,12.59,No,Single,No
Student_149,Other,1995-01-24,State_B,ST,15.89,15.17,15.72,No,Single,No
Student_150,Male,1995-01-24,State_D,OBC,12.57,15.08,14.59,No,Divorced,No
Student_151,Male,1995-01-25,State_A,General,11.97,11.98,9.26,No,Married,No
Student_152,Male,1995-01-25,State_A,OBC,8.34,9.58,8.33,No,Married,No
Student_153,Male,1995-01-25,State_D,General,9.59,11.52,11.66,No,Single,No
Student_154,Female,1995-01-25,State_C,OBC,17.18,15.24,13.79,No,Single,No
Student_155,Male,1995-01-25,State_D,OBC,13.25,13.38,13.26,No,Single,No
Student_156,Male,1995-01-25,State_B,OBC,12.73,10.86,11.16,No,Single,No
Student_157,Female,1995-01-26,State_C,ST,11.6,12.84,13.22,No,Single,No
Student_158,Male,1995-01-26,State_D,General,16.35,17.62,20.0,No,Single,No
Student_159,Female,1995-01-26,State_B,OBC,5.89,4.15,3.64,No,Married,No
Student_160,Female,1995-01-26,State_A,SC,14.64,8.83,6.5,No,Single,No
Student_161,Female,1995-01-26,State_D,OBC,9.3,12.6,11.16,No,Single,No
Student_162,Male,1995-01-26,State_A,OBC,8.66,11.25,9.58,No,Married,No
Student_163,Male,1995-01-27,State_D,OBC,12.11,11.34,15.2,No,Single,No
Student_164,Male,1995-01-27,State_A,ST,8.9,6.09,7.23,No,Single,No
Student_165,Female,1995-01-27,State_A,ST,10.17,8.89,11.68,No,Single,No
Student_166,Male,1995-01-27,State_A,General,7.8,8.82,8.97,No,Single,No
Student_167,Male,1995-01-27,State_D,ST,12.06,12.87,16.15,No,Single,No
Student_168,Male,1995-01-27,State_A,OBC,3.53,3.08,3.61,No,Married,No
Student_169,Female,1995-01-27,State_A,OBC,11.94,13.59,13.51,No,Single,No
Student_170,Male,1995-01-28,State_C,ST,13.21,14.65,13.81,No,Married,No
Student_171,Male,1995-01-28,State_A,SC,9.93,9.95,9.15,Yes,Single,Yes
Student_172,Male,1995-01-28,State_B,OBC,13.18,13.23,15.4,No,Single,No
Student_173,Male,1995-01-28,State_B,SC,8.13,8.69,9.22,No,Single,No
Student_174,Female,1995-01-28,State_C,OBC,6.63,7.29,9.02,No,Divorced,No
Student_175,Female,1995-01-28,State_B,General,13.34,13.91,12.42,No,Single,Yes
Student_176,Male,1995-01-29,State_C,OBC,14.14,17.06,20.0,Yes,Single,No
Student_177,Male,1995-01-29,State_B,ST,9.18,9.06,10.48,No,Single,No
Student_178,Female,1995-01-29,State_D,OBC,15.28,17.9,17.28,No,Single,No
Student_179,Female,1995-01-29,State_D,OBC,12.56,13.9,12.85,No,Single,No
Student_180,Male,1995-01-29,State_A,General,13.18,12.76,10.84,No,Married,No
Student_181,Female,1995-01-29,State_A,OBC,7.1,7.05,8.1,Yes,Single,No
Student_182,Male,1995-01-30,State_B,ST,2.89,5.97,6.1,No,Single,No
Student_183,Male,1995-01-30,State_A,General,9.06,8.24,8.24,No,Single,No
Student_184,Female,1995-01-30,State_C,ST,12.77,13.06,12.94,Yes,Divorced,No
Student_185,Male,1995-01-30,State_C,SC,7.9,6.17,5.14,No,Married,No
Student_186,Female,1995-01-30,State_A,General,11.3,12.57,12.53,No,Single,No
Student_187,Male,1995-01-30,State_B,SC,9.28,8.96,9.23,No,Married,No
Student_188,Female,1995-01-31,State_A,OBC,5.72,3.57,0.17,No,Divorced,Yes
Student_189,Male,1995-01-31,State_C,OBC,5.87,8.24,4.5,No,Single,No
Student_190,Male,1995-01-31,State_B,SC,11.25,14.51,16.6,No,Single,No
Student_191,Female,1995-01-31,State_A,General,13.27,10.51,8.82,Yes,Single,No
Student_192,Female,1995-01-31,State_C,OBC,11.73,13.7,9.49,No,Single,No
Student_193,Male,1995-01-31,State_B,OBC,10.61,11.34,7.88,Yes,Single,No
Student_194,Female,1995-02-01,State_C,OBC,7.76,6.98,4.8,Yes,Single,No
Student_195,Female,1995-02-01,State_D,General,12.17,8.47,5.42,Yes,Married,No
Student_196,Male,1995-02-01,State_C,General,9.17,10.57,9.36,No,Single,No
Student_197,Male,1995-02-01,State_D,OBC,7.29,7.53,7.62,No,Single,No
Student_198,Female,1995-02-01,State_B,OBC,13.14,12.18,12.23,Yes,Single,No
Student_199,Female,1995-02-01,State_B,General,6.99,7.14,6.19,No,Single,No
Student_200,Female,1995-02-01,State_D,OBC,13.41,13.86,15.4,No,Single,Yes
Student_201,Male,1995-02-02,State_D,OBC,7.77,7.03,8.4,No,Single,No
Student_202,Female,1995-02-02,State_A,General,8.22,4.04,4.9,No,Married,No
Student_203,Female,1995-02-02,State_B,OBC,10.77,15.09,14.24,No,Divorced,No
Student_204,Female,1995-02-02,State_D,SC,7.29,5.39,3.09,Yes,Married,No
Student_205,Female,1995-02-02,State_D,General,9.6,7.25,11.49,Yes,Single,No
Student_206,Female,1995-02-02,State_B,OBC,10.99,9.56,10.09,No,Single,No
Student_207,Female,1995-02-03,State_A,General,9.43,9.74,7.67,No,Single,No
Student_208,Female,1995-02-03,State_B,OBC,12.63,7.91,7.1,No,Single,No
Student_209,Male,1995-02-03,State_A,General,5.01,5.81,3.37,No,Single,No
Student_210,Male,1995-02-03,State_B,General,11.84,10.13,11.46,Yes,Married,No
Student_211,Female,1995-02-03,State_B,OBC,17.99,17.17,16.33,No,Married,No
Student_212,Male,1995-02-03,State_C,OBC,10.1,13.73,12.52,No,Single,No
Student_213,Female,1995-02-04,State_B,SC,7.98,8.95,6.06,No,Single,No
Student_214,Female,1995-02-04,State_A,SC,15.06,13.79,17.32,No,Single,No
Student_215,Female,1995-02-04,State_D,OBC,9.54,11.73,12.96,No,Single,No
Student_216,Male,1995-02-04,State_A,General,8.05,11.47,14.3,No,Single,No
Student_217,Female,1995-02-04,State_D,OBC,13.35,9.86,11.65,Yes,Single,No
Student_218,Female,1995-02-04,State_D,SC,6.69,7.64,5.15,Yes,Single,No
Student_219,Male,1995-02-05,State_A,General,3.28,1.35,0.0,No,Single,No
Student_220,Male,1995-02-05,State_A,General,11.19,10.96,10.26,No,Single,No
Student_221,Female,1995-02-05,State_C,General,11.88,12.77,13.5,No,Single,No
Student_222,Female,1995-02-05,State_A,SC,11.62,12.51,13.6,No,Married,No
Student_223,Male,1995-02-05,State_A,OBC,12.57,14.32,8.76,No,Married,No
Student_224,Male,1995-02-05,State_C,ST,8.43,8.85,3.31,No,Married,Yes
Student_225,Female,1995-02-05,State_B,SC,10.82,13.26,11.63,No,Single,No
Student_226,Male,1995-02-06,State_B,General,12.5,11.75,15.84,No,Married,No
Student_227,Female,1995-02-06,State_C,ST,10.14,6.75,5.34,No,Married,No
Student_228,Male,1995-02-06,State_C,OBC,13.8,14.29,16.2,No,Divorced,No
Student_229,Male,1995-02-06,State_A,SC,15.44,15.46,15.02,No,Married,No
Student_230,Male,1995-02-06,State_C,OBC,13.19,11.72,11.59,No,Single,Yes
Student_231,Female,1995-02-06,State_D,ST,13.1,13.17,10.34,No,Single,No
Student_232,Other,1995-02-07,State_C,SC,9.73,8.83,6.94,No,Single,No
Student_233,Male,1995-02-07,State_C,OBC,8.64,8.51,10.67,No,Single,No
Student_234,Female,1995-02-07,State_B,OBC,11.21,10.33,12.28,No,Single,No
Student_235,Female,1995-02-07,State_C,General,10.44,14.61,14.2,No,Single,No
Student_236,Female,1995-02-07,State_A,SC,8.12,6.7,9.86,No,Single,No
Student_237,Male,1995-02-07,State_A,General,19.55,18.26,18.07,No,Single,No
Student_238,Female,1995-02-08,State_B,OBC,10.63,10.62,11.59,No,Single,No
Student_239,Male,1995-02-08,State_A,ST,12.57,10.85,9.54,No,Single,No
Student_240,Female,1995-02-08,State_A,General,9.94,10.18,10.09,No,Single,No
Student_241,Female,1995-02-08,State_A,General,7.08,10.7,10.11,No,Single,No
Student_242,Female,1995-02-08,State_A,OBC,8.83,8.2,6.86,No,Divorced,No
Student_243,Male,1995-02-08,State_C,OBC,11.09,11.19,9.73,No,Single,No
Student_244,Female,1995-02-09,State_B,SC,13.09,14.49,13.21,No,Married,No
Student_245,Female,1995-02-09,State_D,General,7.82,8.07,10.81,No,Married,No
Student_246,Male,1995-02-09,State_A,OBC,10.27,8.08,8.54,No,Single,No
Student_247,Male,1995-02-09,State_D,ST,6.49,6.51,1.11,No,Single,No
Student_248,Male,1995-02-09,State_D,OBC,13.91,15.27,16.74,No,Single,No
Student_249,Other,1995-02-09,State_D,OBC,8.45,8.57,8.94,No,Single,No
Student_250,Other,1995-02-10,State_C,SC,11.74,14.73,13.7,No,Single,Yes
Student_251,Male,1995-02-10,State_A,SC,11.42,14.85,15.4,No,Married,No
Student_252,Female,1995-02-10,State_A,SC,7.6,4.27,7.97,No,Single,No
Student_253,Female,1995-02-10,State_D,ST,9.31,9.75,7.63,No,Single,No
Student_254,Female,1995-02-10,State_B,SC,8.08,7.99,7.94,No,Single,No
Student_255,Male,1995-02-10,State_C,General,3.6,0.3,0.0,No,Single,No
Student_256,Female,1995-02-10,State_D,SC,13.74,11.58,14.44,No,Married,No
Student_257,Male,1995-02-11,State_C,OBC,15.55,12.51,11.74,No,Single,No
Student_258,Female,1995-02-11,State_A,ST,13.88,11.9,12.76,No,Single,Yes
Student_259,Female,1995-02-11,State_D,General,6.6,8.98,8.88,No,Single,No
Student_260,Male,1995-02-11,State_C,OBC,11.82,11.01,11.9,Yes,Single,No
Student_261,Female,1995-02-11,State_B,General,8.73,9.56,11.15,No,Single,No
Student_262,Female,1995-02-11,State_C,General,10.31,7.52,7.67,Yes,Single,No
Student_263,Male,1995-02-12,State_A,General,9.0,7.79,6.22,No,Single,No
Student_264,Male,1995-02-12,State_A,SC,16.56,16.6,17.47,No,Single,No
Student_265,Female,1995-02-12,State_A,OBC,7.9,10.62,9.97,No,Single,No
Student_266,Female,1995-02-12,State_B,OBC,7.99,6.23,6.11,No,Single,No
Student_267,Female,1995-02-12,State_C,General,11.27,9.72,10.72,No,Single,No
Student_268,Male,1995-02-12,State_D,SC,12.39,13.04,12.39,No,Single,No
Student_269,Male,1995-02-13,State_B,ST,11.89,12.05,12.77,No,Married,No
Student_270,Female,1995-02-13,State_A,ST,13.66,13.43,10.85,No,Single,No
Student_271,Female,1995-02-13,State_A,OBC,11.5,9.97,12.39,No,Single,No
Student_272,Male,1995-02-13,State_B,General,11.08,11.52,7.79,Yes,Single,No
Student_273,Female,1995-02-13,State_C,General,11.35,9.75,8.38,No,Single,No
Student_274,Male,1995-02-13,State_B,SC,7.62,5.44,6.89,Yes,Single,No
Student_275,Female,1995-02-14,State_D,OBC,3.33,2.74,0.35,Yes,Single,No
Student_276,Male,1995-02-14,State_B,General,8.47,6.09,2.13,Yes,Single,No
Student_277,Male,1995-02-14,State_D,OBC,11.21,13.49,11.91,No,Single,Yes
Student_278,Female,1995-02-14,State_A,OBC,11.97,14.68,15.13,Yes,Single,No
Student_279,Female,1995-02-14,State_D,SC,12.0,9.38,11.09,No,Single,No
Student_280,Male,1995-02-14,State_A,OBC,15.15,14.65,13.77,No,Single,No
Student_281,Male,1995-02-14,State_A,OBC,11.49,12.03,9.42,No,Single,No
Student_282,Male,1995-02-15,State_C,OBC,10.2,8.87,8.79,No,Married,Yes
Student_283,Female,1995-02-15,State_D,General,13.09,10.52,6.37,No,Single,No
Student_284,Male,1995-02-15,State_D,General,11.42,13.1,13.13,No,Single,No
Student_285,Male,1995-02-15,State_A,OBC,15.05,11.8,12.75,No,Single,No
Student_286,Male,1995-02-15,State_D,General,11.7,12.25,14.02,No,Married,No
Student_287,Female,1995-02-15,State_B,ST,13.51,12.59,12.34,No,Single,No
Student_288,Male,1995-02-16,State_C,OBC,18.33,14.67,16.48,No,Single,No
Student_289,Female,1995-02-16,State_B,General,12.35,12.63,13.67,No,Single,No
Student_290,Female,1995-02-16,State_C,ST,11.67,7.65,9.25,No,Married,No
Student_291,Female,1995-02-16,State_A,SC,9.76,12.58,11.33,No,Single,No
Student_292,Female,1995-02-16,State_C,General,13.83,11.66,14.57,No,Single,No
Student_293,Female,1995-02-16,State_A,General,12.76,12.63,12.49,No,Single,No
Student_294,Male,1995-02-17,State_A,OBC,10.54,7.16,2.35,No,Married,No
Student_295,Male,1995-02-17,State_D,OBC,14.09,11.95,11.88,No,Single,No
Student_296,Male,1995-02-17,State_C,General,6.01,4.4,1.46,Yes,Single,No
Student_297,Female,1995-02-17,State_A,SC,11.0,7.9,7.09,No,Single,No
Student_298,Female,1995-02-17,State_A,OBC,11.34,7.86,7.67,No,Married,No
Student_299,Female,1995-02-17,State_A,General,7.57,5.91,3.55,Yes,Single,No
Student_300,Female,1995-02-18,State_C,General,11.75,11.08,8.16,No,Married,No
Student_301,Female,1995-02-18,State_D,General,9.28,9.3,9.19,No,Married,Yes
Student_302,Male,1995-02-18,State_C,OBC,7.35,6.04,4.57,Yes,Single,Yes
Student_303,Male,1995-02-18,State_B,OBC,16.28,15.12,16.03,No,Single,No
Student_304,Male,1995-02-18,State_A,General,4.1,2.6,1.22,No,Single,No
Student_305,Female,1995-02-18,State_A,SC,12.26,10.06,7.69,No,Single,No
Student_306,Male,1995-02-19,State_C,OBC,10.98,9.58,8.66,Yes,Married,Yes
Student_307,Female,1995-02-19,State_C,OBC,12.98,11.33,12.73,No,Single,No
Student_308,Female,1995-02-19,State_C,SC,13.87,15.12,14.51,No,Single,No
Student_309,Male,1995-02-19,State_A,General,5.02,6.74,6.36,Yes,Married,No
Student_310,Male,1995-02-19,State_C,OBC,11.87,9.57,7.15,No,Single,No
Student_311,Female,1995-02-19,State_A,OBC,14.5,14.3,10.3,Yes,Single,No
Student_312,Female,1995-02-19,State_C,General,17.88,19.23,19.5,Yes,Divorced,No
Student_313,Female,1995-02-20,State_D,General,15.04,14.27,14.37,No,Married,No
Student_314,Male,1995-02-20,State_C,ST,11.24,11.8,14.63,No,Married,No
Student_315,Male,1995-02-20,State_C,SC,9.63,6.58,8.53,No,Single,No
Student_316,Female,1995-02-20,State_C,General,11.75,15.1,16.36,Yes,Married,Yes
Student_317,Female,1995-02-20,State_C,OBC,11.27,11.13,10.26,No,Divorced,No
Student_318,Female,1995-02-20,State_D,General,8.78,7.92,10.81,No,Single,No
Student_319,Male,1995-02-21,State_A,General,12.82,10.8,9.83,No,Single,No
Student_320,Male,1995-02-21,State_B,General,10.51,8.68,8.04,No,Divorced,No
Student_321,Male,1995-02-21,State_C,ST,10.87,8.33,6.33,Yes,Single,No
Student_322,Female,1995-02-21,State_B,ST,9.29,6.75,8.06,No,Married,No
Student_323,Female,1995-02-21,State_A,General,15.36,13.4,11.6,No,Single,No
Student_324,Male,1995-02-21,State_B,General,15.08,16.57,16.32,No,Single,No
Student_325,Male,1995-02-22,State_D,SC,7.31,8.01,7.12,No,Married,No
Student_326,Female,1995-02-22,State_C,OBC,14.91,19.84,18.09,Yes,Single,No
Student_327,Female,1995-02-22,State_D,General,17.03,15.8,17.08,No,Single,No
Student_328,Female,1995-02-22,State_C,General,8.3,9.11,9.47,No,Single,No
Student_329,Female,1995-02-22,State_D,General,10.0,9.17,12.33,No,Single,No
Student_330,Male,1995-02-22,State_C,OBC,7.99,7.47,6.76,No,Single,No
Student_331,Male,1995-02-23,State_D,SC,7.41,9.97,11.42,No,Single,No
Student_332,Female,1995-02-23,State_A,General,11.48,13.35,14.32,No,Single,No
